,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,37.600,0,37.600,4,37.600,4,37.600,2,,,,,,,18.800,1,18.800,3,18.800,2,18.800,2,18.800,0,18.800,1,18.800,2,18.800,1,18.800,1,18.800,1,18.800,4,18.800,2,18.800,0,18.800,3,18.800,2,18.800,4,18.800,3,18.800,0,18.800,2,18.800,2,,,,,,,,,,
,37.800,0,37.800,4,37.800,2,37.800,3,,,,,,,18.900,2,18.900,1,18.900,2,18.900,2,18.900,1,18.900,1,18.900,4,18.900,1,18.900,0,18.900,1,18.900,0,18.900,1,18.900,1,18.900,3,18.900,1,18.900,0,18.900,0,18.900,0,18.900,1,18.900,3,,,,,,,,,,
,38.000,0,38.000,3,38.000,3,38.000,2,,,,,,,19.000,1,19.000,1,19.000,3,19.000,1,19.000,2,19.000,2,19.000,2,19.000,0,19.000,1,19.000,2,19.000,1,19.000,1,19.000,1,19.000,0,19.000,0,19.000,1,19.000,0,19.000,2,19.000,0,19.000,3,,,,,,,,,,
,38.200,0,38.200,3,38.200,3,38.200,0,,,,,,,19.100,2,19.100,2,19.100,1,19.100,2,19.100,0,19.100,1,19.100,0,19.100,1,19.100,1,19.100,2,19.100,1,19.100,1,19.100,1,19.100,2,19.100,0,19.100,1,19.100,1,19.100,0,19.100,3,19.100,1,,,,,,,,,,
,38.400,0,38.400,3,38.400,1,38.400,3,,,,,,,19.200,0,19.200,1,19.200,2,19.200,1,19.200,0,19.200,4,19.200,0,19.200,0,19.200,0,19.200,1,19.200,3,19.200,1,19.200,0,19.200,0,19.200,0,19.200,0,19.200,1,19.200,0,19.200,0,19.200,0,,,,,,,,,,
,38.600,0,38.600,2,38.600,4,38.600,5,,,,,,,19.300,0,19.300,1,19.300,0,19.300,0,19.300,2,19.300,1,19.300,1,19.300,1,19.300,0,19.300,0,19.300,1,19.300,1,19.300,0,19.300,2,19.300,3,19.300,0,19.300,1,19.300,1,19.300,1,19.300,0,,,,,,,,,,
,38.800,0,38.800,6,38.800,2,38.800,4,,,,,,,19.400,1,19.400,0,19.400,2,19.400,1,19.400,2,19.400,1,19.400,1,19.400,0,19.400,1,19.400,2,19.400,1,19.400,1,19.400,0,19.400,0,19.400,2,19.400,2,19.400,3,19.400,0,19.400,2,19.400,1,,,,,,,,,,
,39.000,0,39.000,2,39.000,2,39.000,2,,,,,,,19.500,2,19.500,0,19.500,0,19.500,2,19.500,2,19.500,1,19.500,1,19.500,0,19.500,2,19.500,0,19.500,3,19.500,0,19.500,3,19.500,1,19.500,0,19.500,2,19.500,3,19.500,1,19.500,1,19.500,2,,,,,,,,,,
,39.200,0,39.200,2,39.200,4,39.200,5,,,,,,,19.600,2,19.600,0,19.600,1,19.600,4,19.600,0,19.600,0,19.600,1,19.600,1,19.600,1,19.600,1,19.600,0,19.600,3,19.600,0,19.600,0,19.600,2,19.600,5,19.600,1,19.600,0,19.600,1,19.600,1,,,,,,,,,,
,39.400,0,39.400,0,39.400,3,39.400,6,,,,,,,19.700,1,19.700,3,19.700,3,19.700,0,19.700,0,19.700,3,19.700,1,19.700,2,19.700,0,19.700,1,19.700,0,19.700,0,19.700,1,19.700,2,19.700,2,19.700,2,19.700,0,19.700,0,19.700,1,19.700,2,,,,,,,,,,
,39.600,0,39.600,4,39.600,3,39.600,2,,,,,,,19.800,1,19.800,1,19.800,2,19.800,1,19.800,0,19.800,1,19.800,1,19.800,0,19.800,1,19.800,1,19.800,1,19.800,3,19.800,3,19.800,1,19.800,0,19.800,0,19.800,3,19.800,1,19.800,2,19.800,0,,,,,,,,,,
,39.800,0,39.800,2,39.800,4,39.800,2,,,,,,,19.900,0,19.900,3,19.900,0,19.900,3,19.900,1,19.900,0,19.900,0,19.900,0,19.900,2,19.900,2,19.900,1,19.900,2,19.900,1,19.900,2,19.900,1,19.900,1,19.900,1,19.900,1,19.900,3,19.900,0,,,,,,,,,,
,40.000,0,40.000,4,40.000,2,40.000,6,,,,,,,20.000,0,20.000,0,20.000,1,20.000,1,20.000,0,20.000,1,20.000,2,20.000,0,20.000,0,20.000,0,20.000,1,20.000,0,20.000,0,20.000,1,20.000,0,20.000,1,20.000,0,20.000,3,20.000,2,20.000,1,,,,,,,,,,
,40.200,0,40.200,0,40.200,1,40.200,4,,,,,,,20.100,0,20.100,0,20.100,0,20.100,2,20.100,0,20.100,0,20.100,0,20.100,0,20.100,0,20.100,0,20.100,1,20.100,1,20.100,0,20.100,1,20.100,2,20.100,1,20.100,1,20.100,0,20.100,0,20.100,0,,,,,,,,,,
,40.400,0,40.400,2,40.400,3,40.400,1,,,,,,,20.200,0,20.200,0,20.200,1,20.200,2,20.200,1,20.200,3,20.200,3,20.200,2,20.200,0,20.200,2,20.200,0,20.200,3,20.200,0,20.200,0,20.200,0,20.200,3,20.200,2,20.200,3,20.200,0,20.200,1,,,,,,,,,,
,40.600,1,40.600,2,40.600,1,40.600,5,,,,,,,20.300,0,20.300,2,20.300,0,20.300,2,20.300,0,20.300,0,20.300,2,20.300,2,20.300,3,20.300,3,20.300,1,20.300,0,20.300,2,20.300,4,20.300,1,20.300,1,20.300,0,20.300,2,20.300,2,20.300,2,,,,,,,,,,
,40.800,0,40.800,2,40.800,2,40.800,3,,,,,,,20.400,2,20.400,1,20.400,0,20.400,1,20.400,0,20.400,1,20.400,0,20.400,2,20.400,2,20.400,0,20.400,0,20.400,2,20.400,0,20.400,0,20.400,0,20.400,0,20.400,1,20.400,1,20.400,0,20.400,1,,,,,,,,,,
,41.000,0,41.000,3,41.000,0,41.000,0,,,,,,,20.500,0,20.500,0,20.500,1,20.500,0,20.500,4,20.500,3,20.500,1,20.500,5,20.500,1,20.500,3,20.500,1,20.500,2,20.500,1,20.500,0,20.500,0,20.500,0,20.500,3,20.500,1,20.500,1,20.500,1,,,,,,,,,,
,41.200,0,41.200,4,41.200,3,41.200,2,,,,,,,20.600,2,20.600,1,20.600,2,20.600,3,20.600,2,20.600,2,20.600,0,20.600,0,20.600,0,20.600,2,20.600,2,20.600,1,20.600,0,20.600,0,20.600,3,20.600,1,20.600,3,20.600,3,20.600,1,20.600,1,,,,,,,,,,
,41.400,0,41.400,3,41.400,3,41.400,1,,,,,,,20.700,1,20.700,1,20.700,1,20.700,1,20.700,0,20.700,1,20.700,2,20.700,0,20.700,3,20.700,1,20.700,0,20.700,2,20.700,2,20.700,0,20.700,1,20.700,3,20.700,0,20.700,2,20.700,3,20.700,1,,,,,,,,,,
,41.600,0,41.600,4,41.600,3,41.600,2,,,,,,,20.800,0,20.800,0,20.800,1,20.800,2,20.800,1,20.800,1,20.800,1,20.800,1,20.800,2,20.800,0,20.800,3,20.800,1,20.800,0,20.800,1,20.800,1,20.800,0,20.800,1,20.800,1,20.800,0,20.800,1,,,,,,,,,,
,41.800,0,41.800,3,41.800,2,41.800,1,,,,,,,20.900,0,20.900,1,20.900,1,20.900,0,20.900,1,20.900,0,20.900,1,20.900,3,20.900,3,20.900,1,20.900,0,20.900,0,20.900,2,20.900,0,20.900,5,20.900,3,20.900,1,20.900,0,20.900,0,20.900,1,,,,,,,,,,
,42.000,0,42.000,2,42.000,2,42.000,3,,,,,,,21.000,0,21.000,1,21.000,1,21.000,0,21.000,3,21.000,3,21.000,1,21.000,1,21.000,1,21.000,0,21.000,1,21.000,1,21.000,1,21.000,0,21.000,0,21.000,0,21.000,0,21.000,4,21.000,0,21.000,2,,,,,,,,,,
,42.200,0,42.200,6,42.200,1,42.200,0,,,,,,,21.100,0,21.100,1,21.100,2,21.100,1,21.100,0,21.100,0,21.100,0,21.100,1,21.100,0,21.100,0,21.100,0,21.100,1,21.100,0,21.100,2,21.100,1,21.100,1,21.100,1,21.100,0,21.100,3,21.100,2,,,,,,,,,,
,42.400,0,42.400,2,42.400,2,42.400,1,,,,,,,21.200,4,21.200,2,21.200,3,21.200,1,21.200,1,21.200,2,21.200,3,21.200,0,21.200,1,21.200,3,21.200,1,21.200,3,21.200,1,21.200,1,21.200,0,21.200,5,21.200,2,21.200,1,21.200,1,21.200,0,,,,,,,,,,
,42.600,0,42.600,1,42.600,5,42.600,4,,,,,,,21.300,0,21.300,4,21.300,2,21.300,1,21.300,2,21.300,1,21.300,2,21.300,3,21.300,2,21.300,0,21.300,2,21.300,5,21.300,2,21.300,1,21.300,1,21.300,3,21.300,0,21.300,1,21.300,1,21.300,0,,,,,,,,,,
,42.800,0,42.800,4,42.800,1,42.800,5,,,,,,,21.400,1,21.400,0,21.400,1,21.400,1,21.400,1,21.400,0,21.400,3,21.400,0,21.400,2,21.400,2,21.400,1,21.400,0,21.400,0,21.400,3,21.400,0,21.400,0,21.400,3,21.400,2,21.400,1,21.400,1,,,,,,,,,,
,43.000,0,43.000,2,43.000,2,43.000,2,,,,,,,21.500,1,21.500,1,21.500,2,21.500,1,21.500,1,21.500,0,21.500,2,21.500,0,21.500,1,21.500,1,21.500,0,21.500,0,21.500,1,21.500,0,21.500,1,21.500,0,21.500,0,21.500,0,21.500,1,21.500,3,,,,,,,,,,
,43.200,0,43.200,2,43.200,3,43.200,1,,,,,,,21.600,1,21.600,0,21.600,1,21.600,1,21.600,0,21.600,1,21.600,1,21.600,1,21.600,1,21.600,1,21.600,1,21.600,0,21.600,1,21.600,2,21.600,0,21.600,2,21.600,0,21.600,0,21.600,2,21.600,0,,,,,,,,,,
,43.400,0,43.400,4,43.400,2,43.400,2,,,,,,,21.700,3,21.700,3,21.700,2,21.700,0,21.700,0,21.700,1,21.700,0,21.700,2,21.700,1,21.700,0,21.700,1,21.700,2,21.700,1,21.700,1,21.700,0,21.700,2,21.700,1,21.700,2,21.700,0,21.700,0,,,,,,,,,,
,43.600,0,43.600,1,43.600,1,43.600,2,,,,,,,21.800,1,21.800,1,21.800,1,21.800,2,21.800,0,21.800,0,21.800,2,21.800,1,21.800,0,21.800,0,21.800,2,21.800,0,21.800,0,21.800,2,21.800,0,21.800,0,21.800,1,21.800,1,21.800,1,21.800,2,,,,,,,,,,
,43.800,0,43.800,5,43.800,2,43.800,2,,,,,,,21.900,4,21.900,2,21.900,1,21.900,1,21.900,1,21.900,1,21.900,1,21.900,3,21.900,1,21.900,2,21.900,0,21.900,2,21.900,0,21.900,0,21.900,0,21.900,0,21.900,1,21.900,3,21.900,1,21.900,1,,,,,,,,,,
,44.000,0,44.000,4,44.000,3,44.000,3,,,,,,,22.000,1,22.000,1,22.000,0,22.000,0,22.000,2,22.000,2,22.000,2,22.000,1,22.000,0,22.000,0,22.000,1,22.000,1,22.000,2,22.000,2,22.000,1,22.000,1,22.000,0,22.000,0,22.000,0,22.000,1,,,,,,,,,,
,44.200,0,44.200,5,44.200,1,44.200,3,,,,,,,22.100,3,22.100,1,22.100,2,22.100,0,22.100,0,22.100,0,22.100,0,22.100,3,22.100,1,22.100,0,22.100,2,22.100,0,22.100,0,22.100,1,22.100,1,22.100,2,22.100,1,22.100,1,22.100,1,22.100,1,,,,,,,,,,
,44.400,0,44.400,3,44.400,0,44.400,3,,,,,,,22.200,1,22.200,1,22.200,2,22.200,1,22.200,0,22.200,2,22.200,0,22.200,1,22.200,0,22.200,0,22.200,1,22.200,2,22.200,1,22.200,2,22.200,2,22.200,2,22.200,1,22.200,0,22.200,0,22.200,1,,,,,,,,,,
,44.600,1,44.600,4,44.600,3,44.600,3,,,,,,,22.300,2,22.300,1,22.300,0,22.300,0,22.300,0,22.300,1,22.300,0,22.300,0,22.300,0,22.300,1,22.300,0,22.300,2,22.300,1,22.300,1,22.300,2,22.300,3,22.300,0,22.300,2,22.300,1,22.300,2,,,,,,,,,,
,44.800,0,44.800,2,44.800,0,44.800,2,,,,,,,22.400,1,22.400,2,22.400,0,22.400,3,22.400,2,22.400,4,22.400,2,22.400,0,22.400,1,22.400,2,22.400,1,22.400,1,22.400,0,22.400,1,22.400,2,22.400,2,22.400,1,22.400,1,22.400,1,22.400,0,,,,,,,,,,
,45.000,0,45.000,2,45.000,2,45.000,1,,,,,,,22.500,2,22.500,0,22.500,1,22.500,0,22.500,0,22.500,1,22.500,0,22.500,1,22.500,0,22.500,3,22.500,2,22.500,1,22.500,2,22.500,1,22.500,2,22.500,0,22.500,1,22.500,1,22.500,2,22.500,1,,,,,,,,,,
,45.200,1,45.200,6,45.200,1,45.200,3,,,,,,,22.600,0,22.600,1,22.600,2,22.600,2,22.600,1,22.600,0,22.600,1,22.600,0,22.600,1,22.600,1,22.600,1,22.600,1,22.600,0,22.600,2,22.600,1,22.600,1,22.600,2,22.600,2,22.600,2,22.600,1,,,,,,,,,,
,45.400,0,45.400,2,45.400,3,45.400,0,,,,,,,22.700,0,22.700,0,22.700,2,22.700,1,22.700,0,22.700,3,22.700,1,22.700,2,22.700,1,22.700,2,22.700,0,22.700,3,22.700,1,22.700,0,22.700,1,22.700,1,22.700,1,22.700,2,22.700,0,22.700,0,,,,,,,,,,
,45.600,0,45.600,3,45.600,2,45.600,1,,,,,,,22.800,0,22.800,2,22.800,2,22.800,1,22.800,1,22.800,2,22.800,0,22.800,1,22.800,0,22.800,5,22.800,2,22.800,1,22.800,1,22.800,0,22.800,0,22.800,2,22.800,2,22.800,1,22.800,1,22.800,1,,,,,,,,,,
,45.800,0,45.800,3,45.800,2,45.800,1,,,,,,,22.900,2,22.900,0,22.900,1,22.900,1,22.900,1,22.900,1,22.900,1,22.900,0,22.900,1,22.900,0,22.900,0,22.900,1,22.900,2,22.900,1,22.900,2,22.900,2,22.900,1,22.900,1,22.900,1,22.900,1,,,,,,,,,,
,46.000,0,46.000,7,46.000,3,46.000,7,,,,,,,23.000,1,23.000,1,23.000,1,23.000,2,23.000,4,23.000,0,23.000,1,23.000,1,23.000,2,23.000,2,23.000,3,23.000,3,23.000,0,23.000,1,23.000,0,23.000,0,23.000,0,23.000,0,23.000,0,23.000,0,,,,,,,,,,
,46.200,0,46.200,2,46.200,3,46.200,0,,,,,,,23.100,1,23.100,2,23.100,1,23.100,0,23.100,2,23.100,3,23.100,0,23.100,0,23.100,2,23.100,3,23.100,0,23.100,0,23.100,0,23.100,2,23.100,0,23.100,4,23.100,1,23.100,0,23.100,0,23.100,2,,,,,,,,,,
,46.400,0,46.400,2,46.400,1,46.400,2,,,,,,,23.200,1,23.200,2,23.200,2,23.200,0,23.200,1,23.200,0,23.200,1,23.200,0,23.200,1,23.200,1,23.200,2,23.200,0,23.200,2,23.200,0,23.200,2,23.200,0,23.200,1,23.200,2,23.200,0,23.200,3,,,,,,,,,,
,46.600,0,46.600,0,46.600,0,46.600,1,,,,,,,23.300,0,23.300,1,23.300,2,23.300,0,23.300,0,23.300,1,23.300,1,23.300,1,23.300,2,23.300,0,23.300,2,23.300,2,23.300,1,23.300,1,23.300,0,23.300,1,23.300,1,23.300,1,23.300,0,23.300,0,,,,,,,,,,
,46.800,0,46.800,2,46.800,1,46.800,4,,,,,,,23.400,3,23.400,1,23.400,1,23.400,1,23.400,3,23.400,0,23.400,2,23.400,1,23.400,0,23.400,1,23.400,0,23.400,1,23.400,1,23.400,1,23.400,3,23.400,2,23.400,1,23.400,1,23.400,1,23.400,0,,,,,,,,,,
,47.000,0,47.000,1,47.000,0,47.000,4,,,,,,,23.500,1,23.500,1,23.500,1,23.500,0,23.500,0,23.500,3,23.500,1,23.500,4,23.500,4,23.500,0,23.500,1,23.500,2,23.500,2,23.500,3,23.500,0,23.500,0,23.500,1,23.500,2,23.500,0,23.500,3,,,,,,,,,,
,47.200,0,47.200,0,47.200,3,47.200,2,,,,,,,23.600,1,23.600,0,23.600,0,23.600,0,23.600,0,23.600,2,23.600,0,23.600,1,23.600,0,23.600,1,23.600,1,23.600,4,23.600,2,23.600,2,23.600,1,23.600,1,23.600,2,23.600,2,23.600,1,23.600,1,,,,,,,,,,
,47.400,0,47.400,2,47.400,1,47.400,4,,,,,,,23.700,1,23.700,1,23.700,1,23.700,2,23.700,2,23.700,1,23.700,1,23.700,1,23.700,1,23.700,3,23.700,1,23.700,0,23.700,1,23.700,1,23.700,1,23.700,0,23.700,0,23.700,1,23.700,1,23.700,2,,,,,,,,,,
,47.600,0,47.600,2,47.600,2,47.600,4,,,,,,,23.800,2,23.800,2,23.800,2,23.800,1,23.800,2,23.800,2,23.800,1,23.800,1,23.800,1,23.800,2,23.800,0,23.800,0,23.800,0,23.800,1,23.800,3,23.800,0,23.800,2,23.800,1,23.800,3,23.800,2,,,,,,,,,,
,47.800,0,47.800,2,47.800,2,47.800,0,,,,,,,23.900,0,23.900,1,23.900,1,23.900,0,23.900,1,23.900,2,23.900,0,23.900,1,23.900,1,23.900,1,23.900,1,23.900,0,23.900,1,23.900,1,23.900,0,23.900,0,23.900,3,23.900,0,23.900,2,23.900,1,,,,,,,,,,
,48.000,0,48.000,1,48.000,3,48.000,4,,,,,,,24.000,1,24.000,4,24.000,1,24.000,2,24.000,0,24.000,2,24.000,4,24.000,0,24.000,1,24.000,1,24.000,1,24.000,2,24.000,0,24.000,0,24.000,1,24.000,0,24.000,1,24.000,0,24.000,2,24.000,2,,,,,,,,,,
,48.200,1,48.200,2,48.200,1,48.200,1,,,,,,,24.100,2,24.100,0,24.100,1,24.100,1,24.100,1,24.100,0,24.100,1,24.100,1,24.100,2,24.100,3,24.100,4,24.100,0,24.100,1,24.100,0,24.100,1,24.100,0,24.100,0,24.100,0,24.100,3,24.100,0,,,,,,,,,,
,48.400,0,48.400,3,48.400,2,48.400,4,,,,,,,24.200,6,24.200,0,24.200,2,24.200,0,24.200,0,24.200,2,24.200,2,24.200,0,24.200,0,24.200,0,24.200,0,24.200,1,24.200,1,24.200,3,24.200,1,24.200,0,24.200,0,24.200,1,24.200,1,24.200,0,,,,,,,,,,
,48.600,0,48.600,1,48.600,2,48.600,2,,,,,,,24.300,2,24.300,6,24.300,2,24.300,1,24.300,1,24.300,0,24.300,1,24.300,1,24.300,0,24.300,1,24.300,0,24.300,1,24.300,1,24.300,0,24.300,1,24.300,1,24.300,1,24.300,1,24.300,1,24.300,0,,,,,,,,,,
,48.800,0,48.800,3,48.800,5,48.800,2,,,,,,,24.400,2,24.400,2,24.400,1,24.400,1,24.400,1,24.400,1,24.400,2,24.400,1,24.400,1,24.400,1,24.400,2,24.400,2,24.400,2,24.400,3,24.400,2,24.400,1,24.400,1,24.400,1,24.400,0,24.400,2,,,,,,,,,,
,49.000,0,49.000,3,49.000,1,49.000,4,,,,,,,24.500,0,24.500,1,24.500,4,24.500,1,24.500,2,24.500,1,24.500,0,24.500,2,24.500,0,24.500,1,24.500,0,24.500,1,24.500,4,24.500,2,24.500,2,24.500,0,24.500,1,24.500,2,24.500,0,24.500,2,,,,,,,,,,
,49.200,0,49.200,0,49.200,1,49.200,3,,,,,,,24.600,0,24.600,0,24.600,1,24.600,0,24.600,0,24.600,1,24.600,1,24.600,2,24.600,1,24.600,3,24.600,0,24.600,1,24.600,1,24.600,1,24.600,2,24.600,1,24.600,4,24.600,2,24.600,0,24.600,1,,,,,,,,,,
,49.400,0,49.400,5,49.400,4,49.400,1,,,,,,,24.700,0,24.700,2,24.700,0,24.700,2,24.700,0,24.700,3,24.700,2,24.700,2,24.700,1,24.700,1,24.700,1,24.700,3,24.700,0,24.700,1,24.700,1,24.700,0,24.700,0,24.700,1,24.700,1,24.700,0,,,,,,,,,,
,49.600,0,49.600,3,49.600,0,49.600,1,,,,,,,24.800,1,24.800,2,24.800,0,24.800,2,24.800,2,24.800,0,24.800,1,24.800,1,24.800,1,24.800,5,24.800,0,24.800,3,24.800,2,24.800,0,24.800,0,24.800,1,24.800,0,24.800,2,24.800,0,24.800,1,,,,,,,,,,
,49.800,0,49.800,4,49.800,3,49.800,2,,,,,,,24.900,2,24.900,3,24.900,1,24.900,2,24.900,3,24.900,0,24.900,1,24.900,0,24.900,2,24.900,2,24.900,0,24.900,1,24.900,0,24.900,1,24.900,3,24.900,2,24.900,0,24.900,1,24.900,1,24.900,1,,,,,,,,,,
,50.000,0,50.000,2,50.000,3,50.000,2,,,,,,,25.000,2,25.000,3,25.000,2,25.000,0,25.000,1,25.000,2,25.000,0,25.000,0,25.000,0,25.000,0,25.000,0,25.000,0,25.000,1,25.000,0,25.000,1,25.000,1,25.000,1,25.000,0,25.000,1,25.000,0,,,,,,,,,,
,50.200,0,50.200,1,50.200,1,50.200,3,,,,,,,25.100,0,25.100,1,25.100,0,25.100,0,25.100,2,25.100,0,25.100,1,25.100,2,25.100,1,25.100,1,25.100,0,25.100,1,25.100,0,25.100,0,25.100,1,25.100,4,25.100,2,25.100,1,25.100,0,25.100,1,,,,,,,,,,
,50.400,0,50.400,2,50.400,2,50.400,0,,,,,,,25.200,0,25.200,3,25.200,2,25.200,3,25.200,1,25.200,1,25.200,0,25.200,2,25.200,1,25.200,1,25.200,0,25.200,3,25.200,2,25.200,0,25.200,2,25.200,1,25.200,1,25.200,0,25.200,3,25.200,0,,,,,,,,,,
,50.600,0,50.600,3,50.600,3,50.600,3,,,,,,,25.300,1,25.300,2,25.300,1,25.300,2,25.300,1,25.300,1,25.300,1,25.300,4,25.300,1,25.300,1,25.300,1,25.300,0,25.300,0,25.300,1,25.300,1,25.300,1,25.300,0,25.300,1,25.300,1,25.300,0,,,,,,,,,,
,50.800,0,50.800,2,50.800,2,50.800,2,,,,,,,25.400,2,25.400,1,25.400,2,25.400,0,25.400,1,25.400,0,25.400,2,25.400,0,25.400,1,25.400,2,25.400,1,25.400,2,25.400,4,25.400,2,25.400,1,25.400,0,25.400,1,25.400,1,25.400,0,25.400,0,,,,,,,,,,
,51.000,0,51.000,4,51.000,1,51.000,2,,,,,,,25.500,2,25.500,1,25.500,2,25.500,0,25.500,0,25.500,0,25.500,1,25.500,1,25.500,1,25.500,4,25.500,0,25.500,1,25.500,1,25.500,0,25.500,3,25.500,0,25.500,2,25.500,0,25.500,1,25.500,1,,,,,,,,,,
,51.200,0,51.200,1,51.200,2,51.200,1,,,,,,,25.600,1,25.600,0,25.600,0,25.600,1,25.600,2,25.600,3,25.600,2,25.600,1,25.600,3,25.600,0,25.600,1,25.600,1,25.600,1,25.600,3,25.600,0,25.600,2,25.600,0,25.600,2,25.600,1,25.600,0,,,,,,,,,,
,51.400,0,51.400,4,51.400,2,51.400,3,,,,,,,25.700,0,25.700,1,25.700,0,25.700,1,25.700,2,25.700,1,25.700,2,25.700,1,25.700,1,25.700,1,25.700,1,25.700,3,25.700,1,25.700,0,25.700,0,25.700,1,25.700,0,25.700,2,25.700,0,25.700,1,,,,,,,,,,
,51.600,0,51.600,1,51.600,1,51.600,4,,,,,,,25.800,1,25.800,1,25.800,2,25.800,0,25.800,0,25.800,4,25.800,1,25.800,1,25.800,0,25.800,2,25.800,2,25.800,2,25.800,1,25.800,2,25.800,1,25.800,0,25.800,1,25.800,2,25.800,1,25.800,3,,,,,,,,,,
,51.800,0,51.800,3,51.800,3,51.800,4,,,,,,,25.900,2,25.900,1,25.900,2,25.900,0,25.900,4,25.900,0,25.900,0,25.900,1,25.900,0,25.900,4,25.900,0,25.900,1,25.900,1,25.900,0,25.900,0,25.900,1,25.900,2,25.900,5,25.900,1,25.900,2,,,,,,,,,,
,52.000,0,52.000,1,52.000,5,52.000,0,,,,,,,26.000,0,26.000,0,26.000,1,26.000,1,26.000,3,26.000,2,26.000,0,26.000,1,26.000,3,26.000,1,26.000,1,26.000,2,26.000,1,26.000,3,26.000,0,26.000,1,26.000,2,26.000,0,26.000,2,26.000,3,,,,,,,,,,
,52.200,0,52.200,2,52.200,2,52.200,0,,,,,,,26.100,1,26.100,0,26.100,2,26.100,0,26.100,2,26.100,2,26.100,1,26.100,0,26.100,1,26.100,1,26.100,0,26.100,3,26.100,2,26.100,1,26.100,0,26.100,1,26.100,2,26.100,2,26.100,0,26.100,1,,,,,,,,,,
,52.400,0,52.400,0,52.400,2,52.400,1,,,,,,,26.200,1,26.200,1,26.200,2,26.200,4,26.200,2,26.200,4,26.200,0,26.200,1,26.200,5,26.200,0,26.200,1,26.200,0,26.200,1,26.200,0,26.200,2,26.200,0,26.200,0,26.200,0,26.200,0,26.200,4,,,,,,,,,,
,52.600,0,52.600,2,52.600,2,52.600,5,,,,,,,26.300,1,26.300,0,26.300,2,26.300,0,26.300,2,26.300,0,26.300,2,26.300,0,26.300,3,26.300,3,26.300,0,26.300,2,26.300,0,26.300,1,26.300,0,26.300,1,26.300,4,26.300,0,26.300,3,26.300,0,,,,,,,,,,
,52.800,0,52.800,2,52.800,3,52.800,4,,,,,,,26.400,0,26.400,1,26.400,1,26.400,1,26.400,0,26.400,0,26.400,1,26.400,1,26.400,1,26.400,2,26.400,2,26.400,1,26.400,3,26.400,0,26.400,2,26.400,1,26.400,1,26.400,1,26.400,2,26.400,3,,,,,,,,,,
,53.000,1,53.000,1,53.000,1,53.000,2,,,,,,,26.500,0,26.500,1,26.500,0,26.500,0,26.500,1,26.500,0,26.500,1,26.500,1,26.500,1,26.500,0,26.500,1,26.500,0,26.500,0,26.500,0,26.500,0,26.500,0,26.500,2,26.500,1,26.500,1,26.500,0,,,,,,,,,,
,53.200,0,53.200,0,53.200,2,53.200,3,,,,,,,26.600,1,26.600,1,26.600,1,26.600,4,26.600,3,26.600,0,26.600,1,26.600,0,26.600,2,26.600,1,26.600,0,26.600,1,26.600,0,26.600,0,26.600,2,26.600,1,26.600,0,26.600,1,26.600,1,26.600,0,,,,,,,,,,
,53.400,0,53.400,2,53.400,2,53.400,1,,,,,,,26.700,2,26.700,0,26.700,0,26.700,2,26.700,0,26.700,2,26.700,2,26.700,1,26.700,1,26.700,1,26.700,1,26.700,0,26.700,0,26.700,4,26.700,2,26.700,1,26.700,0,26.700,2,26.700,1,26.700,1,,,,,,,,,,
,53.600,0,53.600,2,53.600,1,53.600,3,,,,,,,26.800,0,26.800,1,26.800,0,26.800,1,26.800,2,26.800,1,26.800,2,26.800,2,26.800,0,26.800,2,26.800,1,26.800,2,26.800,1,26.800,1,26.800,1,26.800,0,26.800,2,26.800,0,26.800,0,26.800,2,,,,,,,,,,
,53.800,0,53.800,3,53.800,0,53.800,4,,,,,,,26.900,1,26.900,0,26.900,1,26.900,2,26.900,0,26.900,4,26.900,1,26.900,2,26.900,1,26.900,1,26.900,2,26.900,0,26.900,4,26.900,1,26.900,1,26.900,0,26.900,0,26.900,1,26.900,3,26.900,1,,,,,,,,,,
,54.000,0,54.000,3,54.000,4,54.000,3,,,,,,,27.000,1,27.000,1,27.000,0,27.000,1,27.000,1,27.000,2,27.000,2,27.000,2,27.000,2,27.000,0,27.000,0,27.000,1,27.000,1,27.000,0,27.000,1,27.000,0,27.000,0,27.000,2,27.000,0,27.000,0,,,,,,,,,,
,54.200,0,54.200,4,54.200,2,54.200,3,,,,,,,27.100,2,27.100,1,27.100,2,27.100,1,27.100,0,27.100,1,27.100,2,27.100,1,27.100,0,27.100,0,27.100,0,27.100,1,27.100,1,27.100,2,27.100,0,27.100,2,27.100,2,27.100,1,27.100,1,27.100,1,,,,,,,,,,
,54.400,0,54.400,2,54.400,4,54.400,0,,,,,,,27.200,0,27.200,0,27.200,0,27.200,3,27.200,2,27.200,2,27.200,1,27.200,2,27.200,0,27.200,0,27.200,2,27.200,3,27.200,4,27.200,0,27.200,4,27.200,4,27.200,0,27.200,0,27.200,2,27.200,1,,,,,,,,,,
