,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,3.000,0,3.000,1,3.000,1,3.000,0,32.000,18,32.000,20,32.000,16,1.500,0,1.500,1,1.500,0,1.500,0,1.500,0,1.500,0,1.500,1,1.500,3,1.500,2,1.500,1,1.500,1,1.500,2,1.500,0,1.500,0,1.500,2,1.500,1,1.500,1,1.500,1,1.500,3,1.500,3,32.000,5,32.000,6,32.000,3,32.000,10,32.000,3
,3.200,0,3.200,1,3.200,2,3.200,2,34.000,32,34.000,19,34.000,25,1.600,2,1.600,0,1.600,2,1.600,2,1.600,1,1.600,0,1.600,2,1.600,1,1.600,4,1.600,1,1.600,0,1.600,2,1.600,1,1.600,0,1.600,2,1.600,0,1.600,1,1.600,2,1.600,0,1.600,2,34.000,5,34.000,6,34.000,7,34.000,4,34.000,4
,3.400,0,3.400,2,3.400,2,3.400,0,36.000,28,36.000,29,36.000,24,1.700,1,1.700,1,1.700,1,1.700,1,1.700,0,1.700,1,1.700,1,1.700,2,1.700,0,1.700,0,1.700,1,1.700,1,1.700,2,1.700,1,1.700,0,1.700,3,1.700,0,1.700,2,1.700,0,1.700,1,36.000,5,36.000,3,36.000,3,36.000,3,36.000,3
,3.600,0,3.600,1,3.600,3,3.600,0,38.000,22,38.000,21,38.000,22,1.800,0,1.800,2,1.800,2,1.800,1,1.800,2,1.800,4,1.800,0,1.800,1,1.800,2,1.800,1,1.800,0,1.800,0,1.800,4,1.800,2,1.800,3,1.800,0,1.800,4,1.800,4,1.800,2,1.800,1,38.000,6,38.000,4,38.000,3,38.000,6,38.000,6
,3.800,0,3.800,4,3.800,2,3.800,1,40.000,23,40.000,31,40.000,24,1.900,0,1.900,1,1.900,1,1.900,1,1.900,1,1.900,0,1.900,4,1.900,2,1.900,1,1.900,0,1.900,0,1.900,3,1.900,1,1.900,3,1.900,3,1.900,1,1.900,1,1.900,0,1.900,0,1.900,3,40.000,9,40.000,5,40.000,3,40.000,4,40.000,1
,4.000,0,4.000,0,4.000,2,4.000,2,42.000,32,42.000,22,42.000,20,2.000,2,2.000,0,2.000,1,2.000,0,2.000,1,2.000,0,2.000,2,2.000,2,2.000,2,2.000,1,2.000,0,2.000,0,2.000,2,2.000,3,2.000,1,2.000,0,2.000,1,2.000,1,2.000,3,2.000,1,42.000,5,42.000,4,42.000,5,42.000,7,42.000,9
,4.200,0,4.200,6,4.200,3,4.200,6,44.000,23,44.000,24,44.000,20,2.100,1,2.100,2,2.100,2,2.100,1,2.100,2,2.100,0,2.100,2,2.100,2,2.100,2,2.100,2,2.100,0,2.100,3,2.100,1,2.100,1,2.100,2,2.100,1,2.100,1,2.100,1,2.100,1,2.100,0,44.000,6,44.000,4,44.000,9,44.000,7,44.000,4
,4.400,0,4.400,4,4.400,2,4.400,0,46.000,12,46.000,18,46.000,22,2.200,1,2.200,2,2.200,0,2.200,0,2.200,2,2.200,0,2.200,1,2.200,2,2.200,0,2.200,2,2.200,2,2.200,1,2.200,1,2.200,2,2.200,4,2.200,3,2.200,0,2.200,1,2.200,1,2.200,3,46.000,6,46.000,6,46.000,4,46.000,2,46.000,4
,4.600,0,4.600,1,4.600,1,4.600,4,48.000,21,48.000,19,48.000,21,2.300,0,2.300,0,2.300,1,2.300,2,2.300,1,2.300,1,2.300,0,2.300,1,2.300,0,2.300,0,2.300,0,2.300,1,2.300,0,2.300,0,2.300,0,2.300,4,2.300,0,2.300,1,2.300,0,2.300,0,48.000,6,48.000,10,48.000,5,48.000,7,48.000,5
,4.800,0,4.800,2,4.800,4,4.800,4,50.000,28,50.000,22,50.000,22,2.400,1,2.400,2,2.400,0,2.400,1,2.400,2,2.400,1,2.400,1,2.400,0,2.400,0,2.400,2,2.400,0,2.400,0,2.400,2,2.400,2,2.400,3,2.400,0,2.400,0,2.400,1,2.400,2,2.400,0,50.000,9,50.000,5,50.000,11,50.000,8,50.000,4
,5.000,0,5.000,3,5.000,4,5.000,6,52.000,21,52.000,17,52.000,19,2.500,0,2.500,2,2.500,2,2.500,1,2.500,1,2.500,1,2.500,1,2.500,0,2.500,1,2.500,0,2.500,1,2.500,2,2.500,1,2.500,1,2.500,1,2.500,1,2.500,3,2.500,1,2.500,1,2.500,3,52.000,6,52.000,6,52.000,8,52.000,7,52.000,5
,5.200,0,5.200,3,5.200,2,5.200,1,54.000,23,54.000,20,54.000,25,2.600,4,2.600,1,2.600,2,2.600,1,2.600,4,2.600,0,2.600,0,2.600,0,2.600,2,2.600,2,2.600,2,2.600,4,2.600,1,2.600,1,2.600,0,2.600,1,2.600,0,2.600,0,2.600,2,2.600,0,54.000,9,54.000,5,54.000,6,54.000,4,54.000,3
,5.400,0,5.400,1,5.400,1,5.400,3,56.000,17,56.000,9,56.000,21,2.700,0,2.700,1,2.700,2,2.700,0,2.700,1,2.700,1,2.700,2,2.700,0,2.700,2,2.700,2,2.700,3,2.700,1,2.700,1,2.700,2,2.700,2,2.700,2,2.700,1,2.700,1,2.700,1,2.700,0,56.000,11,56.000,4,56.000,3,56.000,7,56.000,7
,5.600,0,5.600,2,5.600,0,5.600,2,58.000,16,58.000,20,58.000,18,2.800,0,2.800,1,2.800,1,2.800,0,2.800,2,2.800,1,2.800,1,2.800,3,2.800,1,2.800,1,2.800,1,2.800,3,2.800,0,2.800,1,2.800,1,2.800,1,2.800,2,2.800,1,2.800,0,2.800,1,58.000,3,58.000,7,58.000,4,58.000,5,58.000,5
,5.800,0,5.800,2,5.800,2,5.800,3,60.000,26,60.000,16,60.000,20,2.900,0,2.900,0,2.900,0,2.900,0,2.900,1,2.900,0,2.900,0,2.900,0,2.900,0,2.900,1,2.900,1,2.900,0,2.900,1,2.900,1,2.900,2,2.900,1,2.900,1,2.900,1,2.900,3,2.900,0,60.000,8,60.000,5,60.000,3,60.000,8,60.000,4
,6.000,0,6.000,2,6.000,3,6.000,2,62.000,32,62.000,16,62.000,20,3.000,0,3.000,1,3.000,2,3.000,1,3.000,0,3.000,1,3.000,1,3.000,1,3.000,0,3.000,2,3.000,1,3.000,1,3.000,1,3.000,1,3.000,1,3.000,2,3.000,1,3.000,3,3.000,1,3.000,0,62.000,5,62.000,3,62.000,4,62.000,7,62.000,6
